hand,P1,B1,P2,B2,P3,B3,player_3rd,banker_3rd,xgb_prob,nn_prob,bet_made,unit_size,result,outcome,bankroll
14,0.0,0.0,1.0,0.0,0,8,0,0,0.4922,0.4991,Banker,0,NO BET,0,676.0
15,0.0,0.0,0.0,6.0,0,9,1,0,0.7672,0.547,Player,28,LOSS,2,648.0
16,0.0,8.0,8.0,4.0,0,1,1,0,0.7609,0.5481,Player,28,LOSS,2,620.0
17,0.0,8.0,2.0,4.0,1,0,1,0,0.7468,0.5501,Banker,28,WIN,2,648.0
18,1.0,1.0,0.0,0.0,2,7,1,1,0.4852,0.5002,Banker,0,NO BET,0,648.0
19,0.0,0.0,0.0,5.0,9,0,0,0,0.515,0.5066,Banker,0,NO BET,2,648.0
20,2.0,1.0,0.0,0.0,0,0,1,1,0.4683,0.5033,Player,28,WIN,0,676.0
21,0.0,0.0,0.0,0.0,0,0,0,0,0.515,0.5085,Tie,0,NO BET,2,676.0
22,0.0,0.0,0.0,7.0,7,5,0,0,0.515,0.5117,Player,0,NO BET,2,676.0
23,0.0,0.0,0.0,0.0,0,0,0,0,0.515,0.5117,Player,0,NO BET,2,676.0
24,0.0,0.0,7.0,2.0,0,0,0,0,0.5168,0.5141,Player,0,NO BET,2,676.0
25,0.0,0.0,0.0,0.0,0,0,0,0,0.5168,0.5141,Tie,0,NO BET,2,676.0
26,0.0,9.0,4.0,7.0,0,0,1,0,0.6742,0.5661,Banker,28,WIN,2,704.0
27,0.0,5.0,1.0,0.0,4,1,1,0,0.6742,0.5673,Player,28,LOSS,2,676.0
28,0.0,5.0,3.0,0.0,0,1,1,1,0.4683,0.5017,Player,28,WIN,0,704.0
29,0.0,0.0,7.0,5.0,0,0,1,0,0.6742,0.568,Player,28,LOSS,2,676.0
30,0.0,0.0,0.0,0.0,0,8,0,0,0.5173,0.5248,Banker,0,NO BET,2,676.0
31,0.0,9.0,5.0,8.0,9,0,1,0,0.6744,0.5671,Banker,28,WIN,2,704.0
32,0.0,0.0,7.0,0.0,7,0,0,0,0.5173,0.5289,Tie,0,NO BET,2,704.0
33,1.0,0.0,0.0,3.0,0,2,1,1,0.4683,0.5036,Banker,28,LOSS,0,676.0
1,4.0,7.0,2.0,9.0,0,6,1,1,0.4516,0.4933,Banker,28,LOSS,0,648.0
2,0.0,3.0,4.0,4.0,0,3,1,0,0.7902,0.5385,Tie,28,NO BET,2,648.0
3,0.0,0.0,0.0,0.0,0,8,0,0,0.491,0.5081,Banker,0,NO BET,0,648.0
4,0.0,0.0,0.0,0.0,0,0,0,0,0.4906,0.5069,Player,0,NO BET,0,648.0
5,0.0,0.0,1.0,7.0,8,8,0,0,0.4906,0.5065,Player,0,NO BET,0,648.0
6,0.0,1.0,6.0,7.0,5,2,1,0,0.7857,0.5412,Player,28,LOSS,2,620.0
7,0.0,0.0,1.0,0.0,6,5,1,0,0.7857,0.5374,Banker,28,WIN,2,648.0
8,5.0,0.0,0.0,3.0,0,5,1,1,0.4652,0.493,Banker,28,LOSS,0,620.0
9,0.0,7.0,7.0,6.0,9,8,1,0,0.7761,0.5358,Banker,28,WIN,2,648.0
10,0.0,5.0,2.0,4.0,0,0,1,0,0.7716,0.5335,Player,28,LOSS,2,620.0
11,7.0,5.0,0.0,4.0,4,0,1,1,0.4704,0.4914,Player,28,WIN,0,648.0
12,0.0,0.0,1.0,0.0,2,5,0,0,0.4883,0.4947,Banker,0,NO BET,0,648.0
13,8.0,2.0,0.0,3.0,0,4,1,1,0.4813,0.4923,Banker,28,LOSS,0,620.0
1,0.0,6.0,0.0,9.0,4,6,1,0,0.7902,0.5324,Banker,30,WIN,2,649.0
2,0.0,4.0,0.0,0.0,0,2,1,1,0.4568,0.492,Player,30,WIN,0,679.0
3,0.0,0.0,0.0,1.0,9,0,0,0,0.4885,0.5047,Banker,0,NO BET,0,679.0
4,6.0,6.0,0.0,0.0,6,0,1,1,0.4568,0.4904,Player,30,WIN,0,709.0
5,0.0,0.0,0.0,4.0,0,9,0,0,0.49,0.4992,Banker,0,NO BET,0,709.0
6,0.0,0.0,4.0,6.0,0,3,1,0,0.7825,0.5294,Player,30,LOSS,2,679.0
7,0.0,9.0,1.0,7.0,0,9,1,0,0.7814,0.5333,Player,30,LOSS,2,649.0
8,0.0,0.0,3.0,7.0,0,4,1,0,0.7748,0.535,Tie,30,NO BET,2,649.0
9,0.0,0.0,7.0,3.0,8,0,1,0,0.7707,0.5379,Player,30,LOSS,2,619.0
10,0.0,0.0,7.0,1.0,3,0,1,0,0.7504,0.5407,Player,30,LOSS,2,589.0
11,0.0,0.0,0.0,0.0,5,4,0,0,0.5248,0.498,Banker,0,NO BET,2,589.0
12,7.0,5.0,2.0,0.0,0,0,1,1,0.4748,0.4871,Tie,30,NO BET,0,589.0
